id,date,day,month,year,day_of_week,is_weekend
12635b4d-6afb-4f01-9d60-f0af8dd09868,2014-06-25,25,6,2014,Wednesday,False
992422e6-6e0a-483a-a787-c7405e1335c9,2014-06-26,26,6,2014,Thursday,False
ca351ea4-1730-4921-9778-432795d99d1a,2014-06-27,27,6,2014,Friday,False
921bb5b5-3519-4832-bd30-2ee04c2ed92d,2014-06-28,28,6,2014,Saturday,True
05231440-5d13-40f4-9324-a1e2e59005a5,2014-06-29,29,6,2014,Sunday,True
753d2388-1f40-44a5-92b9-cbe4703fdc58,2014-06-30,30,6,2014,Monday,False
fdb73f14-28cb-455f-ad5e-b3ffd89a1ece,2014-07-01,1,7,2014,Tuesday,False
f5ef58d4-2a24-4ad4-8820-2f4bccb41195,2014-07-02,2,7,2014,Wednesday,False
864cf4b4-2a72-4b32-acfb-cd0e6f1a78b2,2014-07-03,3,7,2014,Thursday,False
8b1c79cf-eb18-4124-a3f3-7292f72791fc,2014-07-04,4,7,2014,Friday,False
5d06aa7a-eadb-423e-b921-2b199a8a35cb,2014-07-05,5,7,2014,Saturday,True
68876b56-317a-4a0d-a5a3-c0a36ecf0091,2014-07-06,6,7,2014,Sunday,True
1babef02-56f9-489f-942b-8895cedeb4cf,2014-07-07,7,7,2014,Monday,False
7a3fc7d5-db08-476f-8a05-c612c21be2eb,2014-07-08,8,7,2014,Tuesday,False
641d0432-11f4-4149-ab4f-445e30a91360,2014-07-09,9,7,2014,Wednesday,False
0c9376a6-f4f7-4943-a26f-45d0f0400956,2014-07-10,10,7,2014,Thursday,False
eb8442dd-5cf7-4ba8-8d97-7e9d191b1a2a,2014-07-11,11,7,2014,Friday,False
8d949fc5-46e2-4396-ac56-6699d45399c0,2014-07-12,12,7,2014,Saturday,True
a092fd49-14e2-44a4-b68e-51a37d7635e0,2014-07-13,13,7,2014,Sunday,True
ce2ec417-09df-4aa4-8c10-1bcdb69d08e4,2014-07-14,14,7,2014,Monday,False
61c2a473-4c66-44db-808a-cef54c4964dc,2014-07-15,15,7,2014,Tuesday,False
ba55793c-2889-40bd-a071-6826587b246c,2014-07-16,16,7,2014,Wednesday,False
aee31995-86cf-4c3c-bba0-484e7ceee664,2014-07-17,17,7,2014,Thursday,False
bd1b8b3b-1516-43ac-8f46-8188726ef31a,2014-07-18,18,7,2014,Friday,False
00b10348-8c41-4a0d-ae1e-fd51e2cab86b,2014-07-19,19,7,2014,Saturday,True
1d954dbe-8760-4174-aeff-681c9bb96eff,2014-07-20,20,7,2014,Sunday,True
615c922c-6357-4597-82ae-313dc39fd907,2014-07-21,21,7,2014,Monday,False
06bbbf6e-9b20-41a2-83e5-064527f8084c,2014-07-22,22,7,2014,Tuesday,False
6b4cf3fe-d524-4656-bcd7-4f59821081e1,2014-07-23,23,7,2014,Wednesday,False
00a24f14-e9f1-43e8-bb87-7ce6e0566589,2014-07-24,24,7,2014,Thursday,False
5af584b5-e5b5-46da-b647-54e329de2ca3,2014-07-25,25,7,2014,Friday,False
299a08ae-f8b1-445f-bd0c-e375c2679727,2014-07-26,26,7,2014,Saturday,True
772fb536-4335-4450-a273-2367517967a4,2014-07-27,27,7,2014,Sunday,True
8dff839d-6c29-4c5a-bf32-bf6d386f24f6,2014-07-28,28,7,2014,Monday,False
c849f7ff-427d-4477-9662-5adab703c277,2014-07-29,29,7,2014,Tuesday,False
c30a37a2-cfb0-4eed-ab5c-ce8705a98868,2014-07-30,30,7,2014,Wednesday,False
1b7972ef-2899-403d-afb9-023455337413,2014-07-31,31,7,2014,Thursday,False
6e458805-6c70-4b14-8fbc-722c08ef5994,2014-08-01,1,8,2014,Friday,False
91a42631-70de-4dab-9029-e1d12da6c215,2014-08-02,2,8,2014,Saturday,True
2d335a15-41e8-4616-be22-ba839daae743,2014-08-03,3,8,2014,Sunday,True
aea0bdf2-b02e-44e1-a5d2-d9e47671468a,2014-08-04,4,8,2014,Monday,False
17f17971-51b0-4ba9-b6bd-2e0690e21a96,2014-08-05,5,8,2014,Tuesday,False
33fe05d8-a5b5-44a7-ac05-bce6e4659cd6,2014-08-06,6,8,2014,Wednesday,False
c921ea8d-557e-4cfa-9199-1f28013c4632,2014-08-07,7,8,2014,Thursday,False
143cfdb8-ba45-4d23-b9bd-9707b7f17478,2014-08-08,8,8,2014,Friday,False
9e85d9f4-1098-46cd-bc97-43e836e35de2,2014-08-09,9,8,2014,Saturday,True
b74e6037-acaf-4521-891c-08dc2d2f5b49,2014-08-10,10,8,2014,Sunday,True
3a683025-9813-455e-bac8-49cb5271b2fd,2014-08-11,11,8,2014,Monday,False
75e77123-d71b-43e1-9f1d-c7b66643a14e,2014-08-12,12,8,2014,Tuesday,False
